Name	Lactose	Glucose	Galactose	Oxalic Acid	Citric Acid	Orotic Acid	Lactic Acid	Formic Acid	Propionic Acid	Butyric Acid	Hippuric Acid
L1	725500.2333	25262.66667	155514.2667	45352.93333	181054.0667	276734.6667	263850.4333	253763.9333	1392.433333	6218.866667	35913.86667
L10	288507.25	18505.1	60312.55	36703.06667	124098.3	199174.3667	146518.3	158082.0667	659.8	4087.8	21023
L2	312779	8905.25	71089.85	55024	199181.4	279718.55	281885.4	281867.05	571.9	2862.5	37948.3
L3	351679.3	26203.3	85333.6	10402	110290.95	138027.4	122392	173333.8	13437	1096.9	18401.45
L4	648788.95	9149.35	163701.6	94337.6	209646.3667	320480.6	436482.4	291000.4333	916.2333333	14953.23333	32122.76667
L5	852207.6667	18602.4	139305.7	68331.76667	186949.2667	293974.5	263338.4333	251385.9	3219.533333	6732.333333	42616.6
L6	700798.8333	25922.66667	132878.3667	90888.93333	185769.7667	278912.7333	290663.7667	287496.0333	2414.033333	7700.5	54833.26667
L7	365285.4	4012.75	67224.95	34299.65	91588.55	294084.7	146120.5	100317.7	245.05	3536.1	17379.1
L8	296532.3	1726.6	90117.6	42577.6	76300.05	142738.95	228071.6	148541.7	0	6521.85	16110.1
L9	395241.85	3443.1	97341.4	45560.46667	165527.2333	285946.9	331719.7333	280136.5333	613.9333333	10318.16667	23645.16667
