Campione	Acetaldehyde	Acetone	2-butatone	Ethanol	"2,3-butanedione"	Dimethyldisulfide	3-hexanone	"2,3-pentanedione"	Hexanal	2-heptanone	3-methyl-1-butanol	1-pentanol	Acetoin	"1,2-butanediol"	1-hexanol	Nonanal	2-nonanone	Acetic acid	1-heptanol	Formic acid	Propionic acid	Butyric acid	Pentanoic acid	Hexaoic acid	Dimethyldisulfone	1-nanol	1-octanol	Isovaleric acid	Heptanoic acid	1-dodecanol	Octanoic acid	Nonanoic acid	Decanoic acid	Benzoic acid	Dodecanoic acid	TOTALE
L1	144060	1101557	725535	1967047	5867570	0	22013	3411095	163998	270136	242714	418756	15652596	790449	574073	0	161302	6154922	115296	0	81126	2826742	83336	5033110	422138	60449	0	210243	604797	1271908	7351111	227266	1903989	354900	124089	58338323
L1	124744	3815244	1116493	1590757	17228059	0	17146	3647289	53774	485836	224596	177652	26811369	1061424	556576	0	81785	6890285	163970	0	94310	2339351	32015	5693055	259187	58669	0	156432	62512	19358	2199203	18256	277559	144506	30464	75431876
L2	0	3815244	1850342	484243	17228059	0	86987	8626004	1240597	654079	169614	182322	26811369	1711546	556576	114572	66968	6890285	67765	149043	131520	5227105	69128	5693055	259187	23549	29217	112156	89996	18227	2199203	22320	381879	129334	38556	85130047
L2	0	2262111	1212199	320024	13424882	0	44395	8774271	1228751	494741	179608	198339	22140769	1298787	776192	202861	102428	7372099	156517	190971	133815	5226357	67020	7284158	210679	68721	46296	142475	113039	23588	3415108	21330	679848	171613	68657	78052649
L3	0	7950940	34016399	325163	7069988	158638	10918	1658981	0	812793	164006	130474	27595604	389706	361670	0	87996	3837100	299762	0	77295	997128	0	948093	32680	48707	27019	364125	33398	26399	381985	0	51129	63046	0	87921142
L3	0	7912029	36111160	323303	6147464	43509	6277	1810864	0	658507	182378	110175	23501389	344624	371703	0	81158	2660553	253813	0	65018	714642	0	840473	61389	27063	25385	272296	38312	32899	405219	0	66163	88282	0	83156047
L4	27899	9313531	3512828	640769	3411170	538806	0	5058247	2512726	842853	144776	189286	14481157	1137775	113983	128176	159553	4073178	25532	401277	80904	2457732	80333	3401377	263729	0	0	80333	66286	32841	1354483	3935	212593	182483	139664	55070215
L4	24032	11151875	4128176	512744	4434435	927871	0	5142104	2404495	799654	174405	216078	16802101	1259870	108234	126282	75951	4500849	24977	522816	88853	2801188	37085	3983043	370892	0	0	70899	109994	86833	1604826	12231	252291	136362	27058	62918504
L5	0	1109957	521818	719339	7929956	35659	40039	6208267	0	794972	377610	230821	25629136	1252761	696863	101625	165508	5185838	146296	0	124416	4963676	103278	4466200	561835	39383	31929	502610	110086	16821	1639355	20216	473208	127900	43982	64371360
L5	0	930841	510535	335706	5892516	25142	44322	4347825	0	561249	234969	119266	15324145	574008	554699	43180	99212	2505985	156165	0	89430	2375184	50638	2721195	357642	38493	26560	242228	93286	20195	1243330	26261	385225	94124	38008	40061564
L6	51330	1500817	1017464	2155314	11997642	81323	77383	8877193	0	2274930	515844	395738	24003028	707858	342658	287521	342658	8341498	98766	792220	177541	3438576	42480	3506538	263311	13358	542818	1492114	42162	104366	1803160	12968	302485	29274	26761	75659097
L6	25806	1793115	1175055	3584409	5255812	26283	74853	8561217	0	1457288	528550	406291	15698405	1455633	619808	134485	146083	6675917	135719	836025	197268	2597368	35284	2776719	146806	26525	441122	1108982	71860	43580	1268567	3307	187098	138852	24858	57658950
L7	0	3922078	1451826	270608	13594251	10075	19459	5176772	0	58316	223502	237496	20823330	1643824	170075	78764	119081	4457111	118551	0	141517	3587558	936193	4559775	529434	22530	51829	110216	61771	19113	2560809	20582	572093	146712	54363	65749614
L7	0	2682255	1038142	171870	8741489	13379	44074	4922604	0	36395	122822	145309	16829467	774873	630980	83870	80194	3929243	202841	0	98404	2371892	31550	2837288	204176	27896	40928	71853	68645	12705	1261513	16370	253722	102960	14664	47864373
L8	63591	1372926	207759	571374	4842943	10045	72270	4205576	1245071	2000572	65574	497759	17813025	1538460	158587	159208	241626	5040317	35673	511737	111192	1758441	26211	2359807	124093	13506	35341	123881	70465	37640	1159774	15782	150990	167528	0	46808744
L8	133143	1418193	177956	526970	4955506	8463	75759	4922604	1663289	1570550	143634	318856	17771159	1471675	137458	144770	175870	4859960	32056	332993	116740	1657005	28365	1771729	136082	8332	36875	90813	52686	17790	692014	25773	101289	141938	0	45718295
L9	0	2365623	216279	255276	11560442	10246	0	5284080	12416686	0	457932	0	12573818	1262568	178153	189204	120261	5402510	55879	370191	231393	1309843	30253	1871943	284437	22293	98343	101298	72898	58848	850887	0	145678	489289	0	58286551
L9	0	1885417	336254	361918	10252470	53518	0	4549481	4263137	0	207055	0	15217177	1608870	237122	397850	129220	6184583	114083	416263	338882	1155581	20573	1288413	189932	19996	50986	66195	46634	24858	519481	0	69773	310698	0	50316420
L10	0	1642485	981863	169117	8268342	275901	0	3343791	0	809004	184033	222598	34431666	1075398	806106	0	96167	8242830	247883	0	80269	1843442	20807	1957460	40527	46193	40803	76329	47592	18584	779084	0	102596	88039	17861	65956770
L10	0	1890450	1342927	376201	11229668	317810	0	3733817	0	994516	324868	313155	38483647	1423408	1126692	0	113749	10413258	347702	0	103362	2433883	33226	2532068	31643	48993	49707	90357	60004	12746	979578	0	176915	72392	26641	79083383
