Campione	Oxalic Acid	Citric Acid	Orotic Acid	Lactic Acid	Formic Acid	Propionic Acid	Butyric Acid	Hippuric Acid	Area TOTALE
L1	29035.2	144626.2	238224.6	236154.3	213937.7	2151	9403.4	32121.1	905653.5
L1	53104.2	205224	279454.2	266523.4	253280.6	487.6	3266.7	39088.4	1100429.1
L1	53919.4	193312	312525.2	288873.6	294073.5	1538.7	5986.5	36532.1	1186761
L2	53104.2	205224	279454.2	266523.4	253280.6	487.6	3266.7	39088.4	1100429.1
L2	56943.8	193138.8	279982.9	297247.4	310453.5	656.2	2458.3	36808.2	1177689.1
L3	18397.6	118004.8	143953.2	128741.1	185514.8	26066.6	1485.6	17938.8	640102.5
L3	2406.4	102577.1	132101.6	116042.9	161152.8	807.4	708.2	18864.1	534660.5
L4	113736.5	229948.8	407223.8	570138.5	437118.1	0	17228.3	34004.1	1809398.1
L4	102119	202833.5	290432.1	419068.7	219298.9	1677.1	14694.5	32900.1	1283023.9
L4	67157.3	196156.8	263785.9	320240	216584.3	1071.6	12936.9	29464.1	1107396.9
L5	63120.7	208049.7	322704.6	268975.2	263755.6	1669.6	4766.8	38507.7	1171549.9
L5	74664.5	186157.5	279352.2	279403.2	258139.5	4578.8	8059.9	46157.9	1136513.5
L5	67210.1	166640.6	279866.7	241636.9	232262.6	3410.2	7370.3	43184.2	1041581.6
L6	91557.2	188931.6	327330.3	329125.4	331966.2	2403	5818.6	60152.3	1337284.6
L6	83389.6	202264.6	263044.9	264247.4	251110.4	1494.1	8290.8	51155.9	1124997.7
L6	97720	166113.1	246363	278618.5	279411.5	3345	8992.1	53191.6	1133754.8
L7	40739	102270.4	279866.7	151998.8	95177.9	0	4204.8	18943.9	693201.5
L7	27860.3	80906.7	308302.7	140242.2	105457.5	490.1	2867.4	15814.3	681941.2
L8	33005.2	62124.6	123398.7	201031.9	131476.1	0	5455.6	14968.9	571461
L8	52150	90475.5	162079.2	255111.3	165607.3	0	7588.1	17251.3	750262.7
L9	33027.9	134488.9	235002.4	298831.3	278824.1	0	7148.9	18624.7	1005948.2
L9	54621.9	164622.3	306658.5	334592.8	263415.3	805.4	13146.3	27558.4	1165420.9
L9	49031.6	197470.5	316179.8	361735.1	298170.2	1036.4	10659.3	24752.4	1259035.3
L10	21499.5	79349.3	139951.1	102153.9	107337.9	332.4	7502.5	13509.2	471635.8
L10	25129.5	83939.7	146250.3	105472	108511.3	570.9	949.1	13279.3	484102.1
L10	63480.2	209005.9	311321.7	231929	258397	1076.1	3811.8	36280.5	1115302.2
