Campione	Area Lattosio	Area Glucosio	Area Galattosio
L1	551383.9	17474.2	125030.6
L1	804464.5	28383.4	163944.3
L1	820652.3	29930.4	177567.9
L2	395203.4	11071	88805.1
L2	230354.6	6739.5	53374.6
L3	377433	30608.3	100480.3
L3	325925.6	21798.3	70186.9
L4	588719.9	12544.7	154567.2
L4	708858	5754	172836
L5	891028.1	17217.4	152560.3
L5	856089.7	13435.6	144758.5
L5	809505.2	25154.2	120598.3
L6	767096.3	22952.9	152803.9
L6	637555.3	23644	121861
L6	697744.9	31171.1	123970.2
L7	420789.2	3027.8	77178.1
L7	309781.6	4997.7	57271.8
L8	247012	884.7	75529.7
L8	346052.6	2568.5	104705.5
L9	284856.7	1095.3	72573.9
L9	505627	5790.9	122108.9
L10	273505.7	16755.4	64738.1
L10	303508.8	20254.8	55887
